epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,5303.97,1.40211,0.8761,0.01405,0.87457,0.81911,0.87314,0.52718,1.44002,0.66052,0.01616,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5409.5,1.37986,0.85072,0.01382,0.8532,0.83488,0.88014,0.53066,1.44047,0.63814,0.01628,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5514.93,1.37865,0.85179,0.01393,0.8689,0.82073,0.88392,0.53195,1.44121,0.62382,0.01626,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5619.55,1.37524,0.83937,0.01368,0.86657,0.83342,0.88814,0.53398,1.44694,0.63578,0.01628,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5724.73,1.371,0.83838,0.01381,0.86282,0.83159,0.8759,0.52922,1.4343,0.64498,0.01619,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5828.64,1.37381,0.82501,0.01368,0.84522,0.8387,0.88057,0.52838,1.44488,0.63959,0.01623,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5932.95,1.34908,0.8242,0.01345,0.87156,0.82427,0.89086,0.54044,1.42009,0.62813,0.01591,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6039.89,1.35129,0.81422,0.01338,0.87247,0.82715,0.89176,0.54189,1.42407,0.62349,0.01602,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6148.21,1.34465,0.81476,0.01326,0.86278,0.8381,0.89494,0.54053,1.41819,0.62438,0.01598,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6254.11,1.3531,0.81076,0.01339,0.86208,0.83891,0.89502,0.54396,1.41401,0.61855,0.01591,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6359.08,1.33906,0.80688,0.01321,0.87623,0.83461,0.89495,0.55183,1.39848,0.62358,0.01566,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6463.38,1.32171,0.79203,0.01298,0.86952,0.84582,0.89191,0.54145,1.42143,0.62071,0.01593,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
