epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,6549.65,1.1687,0.73772,1.12805,0.84903,0.84438,0.88455,0.54207,1.31641,0.66258,1.16853,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6647.05,1.16025,0.73637,1.12301,0.87437,0.8104,0.88395,0.53786,1.33213,0.67037,1.182,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6742.55,1.15296,0.73031,1.1196,0.8697,0.83321,0.89145,0.53066,1.33305,0.67359,1.18292,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6837.53,1.14676,0.72356,1.11696,0.84214,0.85271,0.889,0.53564,1.32432,0.67308,1.1765,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6933.7,1.14503,0.72136,1.11375,0.83249,0.86485,0.89154,0.54372,1.31789,0.66207,1.17474,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7027.47,1.13182,0.71197,1.11041,0.87695,0.84049,0.89116,0.54504,1.31591,0.65757,1.17202,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7122.15,1.13572,0.70911,1.10733,0.8671,0.84628,0.89332,0.5426,1.31355,0.65027,1.17076,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7216.21,1.14186,0.70822,1.10958,0.8692,0.84271,0.89427,0.54448,1.30776,0.65242,1.16422,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7310.39,1.13489,0.70374,1.10732,0.86405,0.84608,0.89216,0.54556,1.30847,0.65513,1.16482,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7403.76,1.11929,0.7006,1.10012,0.8651,0.82625,0.89269,0.54466,1.31295,0.65547,1.16766,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7497.64,1.12322,0.7024,1.10404,0.88445,0.81963,0.89095,0.54624,1.31167,0.64956,1.16842,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7590.7,1.11501,0.69489,1.10149,0.86153,0.8273,0.89241,0.54913,1.31849,0.6442,1.17704,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
